datetime,Tair
2005-01-01,44.3333333333
2005-01-02,42.1428571429
2005-01-03,41.8571428571
2005-01-04,39.625
2005-01-05,40.875
2005-01-06,45.5454545455
2005-01-07,44.2857142857
2005-01-08,43.0
2005-01-09,44.3
2005-01-10,43.5
2005-01-11,38.375
2005-01-12,39.0
2005-01-13,30.0
2005-01-14,32.0
2005-01-15,30.0
2005-01-16,39.6666666667
2005-01-17,36.5714285714
2005-01-18,37.0
2005-01-19,32.1666666667
2005-01-20,41.75
2005-01-21,36.0
2005-01-22,35.3333333333
2005-01-23,37.5833333333
2005-01-24,38.6
2005-01-25,50.5555555556
2005-01-26,51.7692307692
2005-01-27,49.4285714286
2005-01-28,51.7142857143
2005-01-29,38.5
2005-01-30,43.28
2005-01-31,41.65
2005-02-01,48.7142857143
2005-02-02,47.7391304348
2005-02-03,45.5882352941
2005-02-04,49.0952380952
2005-02-05,47.1
2005-02-06,44.75
2005-02-07,45.0
2005-02-08,41.8
2005-02-09,49.0
2005-02-10,51.0
2005-02-11,48.1428571429
2005-02-12,55.0
2005-02-13,50.6666666667
2005-02-14,53.0
2005-02-15,49.6666666667
2005-02-16,56.2
2005-02-17,53.5
2005-02-18,54.75
2005-02-19,53.4166666667
2005-02-20,53.6666666667
2005-02-21,59.0769230769
2005-02-22,55.4166666667
2005-02-23,52.7
2005-02-24,50.3333333333
2005-02-25,48.0
2005-02-26,51.0
2005-02-27,51.8
2005-02-28,50.5555555556
2005-03-01,46.6
2005-03-02,53.8
2005-03-03,48.9166666667
2005-03-04,51.0
2005-03-05,55.0714285714
2005-03-06,57.8461538462
2005-03-07,60.8333333333
2005-03-08,58.8
2005-03-09,63.25
2005-03-10,68.1111111111
2005-03-11,69.5263157895
2005-03-12,68.1428571429
2005-03-13,62.3333333333
2005-03-14,60.0
2005-03-15,52.1538461538
2005-03-16,52.2
2005-03-17,56.4615384615
2005-03-18,53.6
2005-03-19,50.0
2005-03-20,53.9090909091
2005-03-21,53.7142857143
2005-03-22,49.0
2005-03-23,47.0
2005-03-24,48.5
2005-03-25,44.3333333333
2005-03-26,49.8
2005-03-27,55.7777777778
2005-03-28,54.1666666667
2005-03-29,47.7777777778
2005-03-30,50.3
2005-03-31,50.8333333333
2005-04-01,58.3571428571
2005-04-02,56.7
2005-04-03,51.1818181818
2005-04-04,50.3333333333
2005-04-05,56.4117647059
2005-04-06,68.5
2005-04-07,50.1818181818
2005-04-08,43.0
2005-04-09,54.0769230769
2005-04-10,56.8695652174
2005-04-11,56.4666666667
2005-04-12,51.4375
2005-04-13,44.4666666667
2005-04-14,47.3076923077
2005-04-15,56.1034482759
2005-04-16,62.6666666667
2005-04-17,61.5
2005-04-18,54.6153846154
2005-04-19,56.5
2005-04-20,56.32
2005-04-21,56.625
2005-04-22,61.76
2005-04-23,53.2
2005-04-24,54.9090909091
2005-04-25,57.25
2005-04-26,57.0
2005-04-27,58.75
2005-04-28,57.0666666667
2005-04-29,61.3684210526
2005-04-30,61.0
2005-05-01,67.24
2005-05-02,71.8965517241
2005-05-03,66.7222222222
2005-05-04,62.8
2005-05-05,58.7272727273
2005-05-06,61.75
2005-05-07,61.2
2005-05-08,56.1428571429
2005-05-09,48.9090909091
2005-05-10,51.7777777778
2005-05-11,61.75
2005-05-12,66.3333333333
2005-05-13,76.4482758621
2005-05-14,76.5384615385
2005-05-15,67.6923076923
2005-05-16,64.6111111111
2005-05-17,56.125
2005-05-18,61.0
2005-05-19,65.9
2005-05-20,65.7692307692
2005-05-21,65.3157894737
2005-05-22,80.6896551724
2005-05-23,74.9090909091
2005-05-24,75.75
2005-05-25,88.0666666667
2005-05-26,82.48
2005-05-27,74.8709677419
2005-05-28,62.6428571429
2005-05-29,65.8181818182
2005-05-30,73.21875
2005-05-31,80.2916666667
2005-06-01,74.35
2005-06-02,71.7857142857
2005-06-03,80.0666666667
2005-06-04,73.9565217391
2005-06-05,67.3928571429
2005-06-06,62.5357142857
2005-06-07,64.1071428571
2005-06-08,56.25
2005-06-09,71.619047619
2005-06-10,77.0344827586
2005-06-11,79.12
2005-06-12,77.9473684211
2005-06-13,76.6363636364
2005-06-14,81.36
2005-06-15,75.0
2005-06-16,59.3571428571
2005-06-17,66.5555555556
2005-06-18,68.0
2005-06-19,71.1111111111
2005-06-20,78.2333333333
2005-06-21,74.6666666667
2005-06-22,75.6428571429
2005-06-23,78.7714285714
2005-06-24,76.962962963
2005-06-25,74.2727272727
2005-06-26,74.0
2005-06-27,73.2857142857
2005-06-28,77.5185185185
2005-06-29,88.4285714286
2005-06-30,99.275862069
2005-07-01,95.1481481481
2005-07-02,91.641025641
2005-07-03,91.5
2005-07-04,92.8484848485
2005-07-05,85.4285714286
2005-07-06,89.8285714286
2005-07-07,82.5483870968
2005-07-08,77.2068965517
2005-07-09,78.8
2005-07-10,86.3235294118
2005-07-11,89.0666666667
2005-07-12,92.6
2005-07-13,100.6
2005-07-14,100.09375
2005-07-15,98.5185185185
2005-07-16,103.604651163
2005-07-17,102.692307692
2005-07-18,95.75
2005-07-19,96.7878787879
2005-07-20,95.9743589744
2005-07-21,88.5
2005-07-22,86.8571428571
2005-07-23,96.0
2005-07-24,99.6511627907
2005-07-25,95.5428571429
2005-07-26,99.8717948718
2005-07-27,96.9714285714
2005-07-28,91.0
2005-07-29,95.0540540541
2005-07-30,97.375
2005-07-31,99.5882352941
2005-08-01,99.6206896552
2005-08-02,91.7714285714
2005-08-03,93.4736842105
2005-08-04,93.65625
2005-08-05,100.142857143
2005-08-06,99.125
2005-08-07,101.88372093
2005-08-08,95.4418604651
2005-08-09,102.644067797
2005-08-10,94.6216216216
2005-08-11,95.3902439024
2005-08-12,95.7391304348
2005-08-13,78.9210526316
2005-08-14,77.8275862069
2005-08-15,78.1111111111
2005-08-16,93.347826087
2005-08-17,88.40625
2005-08-18,74.6086956522
2005-08-19,78.6818181818
2005-08-20,83.4411764706
2005-08-21,87.8863636364
2005-08-22,90.1666666667
2005-08-23,92.3333333333
2005-08-24,83.5294117647
2005-08-25,85.3125
2005-08-26,90.4054054054
2005-08-27,94.3571428571
2005-08-28,96.9473684211
2005-08-29,85.1515151515
2005-08-30,85.7142857143
2005-08-31,87.7692307692
2005-09-01,92.96
2005-09-02,82.9
2005-09-03,82.6363636364
2005-09-04,73.92
2005-09-05,81.5897435897
2005-09-06,82.5555555556
2005-09-07,78.0
2005-09-08,69.9230769231
2005-09-09,66.619047619
2005-09-10,67.3333333333
2005-09-11,70.53125
2005-09-12,70.8205128205
2005-09-13,71.3714285714
2005-09-14,71.3529411765
2005-09-15,74.5
2005-09-16,69.1724137931
2005-09-17,74.5454545455
2005-09-18,70.5
2005-09-19,77.5
2005-09-20,83.7884615385
2005-09-21,81.1071428571
2005-09-22,81.4761904762
2005-09-23,70.8461538462
2005-09-24,62.8333333333
2005-09-25,69.4090909091
2005-09-26,82.25
2005-09-27,74.8181818182
