datetime,FOL_INFLOW_CFS,FOL_OUTFLOW_CFS,FOL_STORAGE_AF,FOL_EVAP_CFS,FOL_TOC STO_AF,FOL_RES ELE_FEET
2000-10-01,1107,1849,659258,9,,435.01
2000-10-02,1432,1991,658149,0,,434.89
2000-10-03,1357,2327,656208,9,,434.68
2000-10-04,631,2020,653436,9,,434.38
2000-10-05,908,2110,651034,9,,434.12
2000-10-06,1507,1871,650295,9,,434.04
2000-10-07,712,2046,647632,9,,433.75
2000-10-08,586,2241,644331,9,,433.39
2000-10-09,554,1886,641671,9,,433.10
2000-10-10,582,1908,639024,9,,432.81
2000-10-11,1053,1962,637204,9,,432.61
2000-10-12,645,1692,635110,9,,432.38
2000-10-13,521,1705,632743,9,,432.12
2000-10-14,688,2642,628850,9,,431.69
2000-10-15,478,2382,625055,9,,431.27
2000-10-16,129,2444,620464,0,,430.76
2000-10-17,273,2479,616071,9,,430.27
2000-10-18,171,2190,612049,9,830100,429.82
2000-10-19,319,2149,608401,9,821900,429.41
2000-10-20,180,2410,603960,9,813700,428.91
2000-10-21,363,2623,599460,9,805600,428.40
2000-10-22,-112,2276,594705,9,797400,427.86
2000-10-23,118,2447,590504,9,789200,427.38
2000-10-24,673,2428,587005,9,781100,426.98
2000-10-25,1159,2290,584749,6,781100,426.72
2000-10-26,1607,2651,582666,6,764800,426.48
2000-10-27,1339,2258,580843,0,756600,426.27
2000-10-28,1975,2272,580236,9,748400,426.20
2000-10-29,2416,1978,581104,0,740300,426.30
2000-10-30,2098,2273,580757,0,732100,426.26
2000-10-31,2066,2679,579541,0,723900,426.12
2000-11-01,1356,2184,577898,0,723900,425.93
2000-11-02,1934,2094,577553,14,715800,425.89
2000-11-03,1795,1925,577295,0,699400,425.86
2000-11-04,1435,1855,576434,14,691300,425.76
2000-11-05,872,1682,574799,14,683100,425.57
2000-11-06,1185,1822,573508,14,675000,425.42
2000-11-07,1808,1794,573508,14,666800,425.42
2000-11-08,1419,1926,572475,14,658600,425.30
2000-11-09,1856,1929,572303,14,650500,425.28
2000-11-10,1884,1957,572131,14,642300,425.26
2000-11-11,2341,1980,572819,14,634100,425.34
2000-11-12,1313,1993,571442,14,626000,425.18
2000-11-13,2501,1966,572475,14,617800,425.30
2000-11-14,3111,2229,574197,14,609700,425.50
2000-11-15,2265,1861,574971,14,601500,425.59
2000-11-16,2402,2431,574885,14,593300,425.58
2000-11-17,2656,2555,575057,14,585200,425.60
2000-11-18,2966,2648,575660,14,577000,425.67
2000-11-19,2528,2645,575401,14,577000,425.64
2000-11-20,2106,2526,574541,14,577000,425.54
2000-11-21,2120,2497,573766,14,577000,425.45
2000-11-22,2437,2553,573508,14,577000,425.42
2000-11-23,1682,2362,572131,14,577000,425.26
2000-11-24,1153,2660,569125,9,577000,424.91
2000-11-25,1151,2648,566138,9,577000,424.56
2000-11-26,1248,2529,563579,9,577000,424.26
2000-11-27,1687,2581,561787,9,577000,424.05
2000-11-28,2445,2574,561531,0,577000,424.02
2000-11-29,2507,2507,561531,0,577000,424.02
2000-11-30,2200,2542,560853,0,577000,423.94
2000-12-01,2319,2532,560430,0,577000,423.89
2000-12-02,2255,2502,559922,9,577000,423.83
2000-12-03,2127,2544,559077,9,577000,423.73
2000-12-04,2314,2902,557893,9,577000,423.59
2000-12-05,2265,2478,557470,0,577000,423.54
2000-12-06,2690,2690,557470,0,577000,423.54
2000-12-07,2651,2410,557808,71,577000,423.58
2000-12-08,2090,2403,557047,71,577000,423.49
2000-12-09,1354,2221,555186,71,577000,423.27
2000-12-10,1572,2567,553072,71,577000,423.02
2000-12-11,2433,2532,552735,71,577000,422.98
2000-12-12,3604,2581,554764,0,577000,423.22
2000-12-13,2774,2433,555440,0,577000,423.30
2000-12-14,2450,2450,555440,0,577000,423.30
2000-12-15,2820,2522,556032,0,577000,423.37
2000-12-16,2203,2459,555525,0,577000,423.31
2000-12-17,1526,2549,553495,0,577000,423.07
2000-12-18,2452,2409,553580,0,577000,423.08
2000-12-19,3042,2658,554341,0,577000,423.17
2000-12-20,2126,2587,553410,8,577000,423.06
2000-12-21,2045,2546,552400,8,577000,422.94
2000-12-22,1900,2779,550640,8,577000,422.73
2000-12-23,1410,2501,548461,8,577000,422.47
2000-12-24,1876,2544,547120,8,577000,422.31
2000-12-25,1767,2316,546031,0,577000,422.18
2000-12-26,1558,2737,543692,0,577000,421.90
2000-12-27,1682,2771,541532,0,577000,421.64
2000-12-28,1696,2366,540203,0,577000,421.48
2000-12-29,2114,2407,539622,0,577000,421.41
2000-12-30,978,2819,535970,0,577000,420.97
2000-12-31,913,2448,532925,0,577000,420.60
2001-01-01,1548,2502,531032,0,577000,420.37
2001-01-02,1357,2768,528234,0,577000,420.03
2001-01-03,1544,2573,526193,0,577000,419.78
2001-01-04,1199,2514,523584,0,577000,419.46
2001-01-05,1344,2084,522117,0,577000,419.28
2001-01-06,1163,2108,520242,0,577000,419.05
2001-01-07,1010,2112,518057,0,577000,418.78
2001-01-08,1194,2701,515100,0,577000,418.41
2001-01-09,1097,3009,511275,0,577000,417.94
2001-01-10,1970,3167,508794,54,577000,417.63
2001-01-11,2561,3032,507833,13,577000,417.51
2001-01-12,1860,2966,505592,24,577000,417.23
2001-01-13,1156,2564,502720,40,577000,416.87
2001-01-14,1217,2491,500104,45,577000,416.54
2001-01-15,1000,2024,498042,16,577000,416.28
2001-01-16,1163,2064,495981,138,577000,416.02
2001-01-17,1187,2376,493623,0,577000,415.72
2001-01-18,1546,2180,492366,0,577000,415.56
2001-01-19,1185,1581,491581,0,577000,415.46
2001-01-20,1540,1690,491188,48,577000,415.41
2001-01-21,1193,1911,489696,34,577000,415.22
2001-01-22,1722,1596,489774,87,577000,415.23
2001-01-23,1667,1443,490167,26,577000,415.28
2001-01-24,2169,1496,491502,0,577000,415.45
2001-01-25,2332,1698,492759,0,577000,415.61
2001-01-26,2338,1269,494880,0,577000,415.88
2001-01-27,1727,1212,495901,0,577000,416.01
2001-01-28,978,1718,494408,13,577000,415.82
2001-01-29,1267,1544,493859,0,577000,415.75
2001-01-30,1118,1625,492837,8,577000,415.62
2001-01-31,1115,1622,491816,8,577000,415.49
2001-02-01,1167,1634,490874,8,577000,415.37
2001-02-02,861,1882,488832,8,577000,415.11
2001-02-03,740,1560,487190,8,577000,414.90
2001-02-04,906,1596,485790,16,577000,414.72
2001-02-05,884,1622,484311,8,577000,414.53
2001-02-06,1184,1490,483689,8,577000,414.45
2001-02-07,1352,1956,482444,24,577000,414.29
2001-02-08,965,1371,481588,26,579400,414.18
2001-02-09,1028,1316,480966,26,581800,414.10
2001-02-10,2328,1400,482755,26,584100,414.33
2001-02-11,3233,1193,486801,0,586500,414.85
2001-02-12,2799,1656,489068,0,588900,415.14
2001-02-13,2343,1314,491110,0,591300,415.40
2001-02-14,1627,1493,491345,16,593700,415.43
2001-02-15,1746,1453,491895,16,596000,415.50
2001-02-16,2008,1760,492366,11,598400,415.56
2001-02-17,1426,1484,492209,21,600800,415.54
2001-02-18,1520,1548,492131,11,603200,415.53
2001-02-19,2024,1391,493387,0,577000,415.69
2001-02-20,3301,1594,496773,0,608000,416.12
2001-02-21,3063,1543,499787,0,610300,416.50
2001-02-22,3582,1479,503911,24,612700,417.02
2001-02-23,4275,1612,509194,0,615100,417.68
2001-02-24,3857,1222,514421,0,617500,418.33
2001-02-25,3724,1402,519026,0,577000,418.90
2001-02-26,2956,1288,522280,27,622200,419.30
2001-02-27,2537,1701,523911,14,624600,419.50
2001-02-28,2092,1716,524563,47,627000,419.58
2001-03-01,2039,1888,524807,28,629400,419.61
2001-03-02,2334,1692,526030,25,629400,419.76
2001-03-03,2570,1368,528399,8,629400,420.05
2001-03-04,2956,1421,531361,42,590500,420.41
2001-03-05,4765,1490,537795,31,638900,421.19
