datetime,FNF_AF
1905-10-01,79700
1905-11-01,82600
1905-12-01,89400
1906-01-01,899400
1906-02-01,623900
1906-03-01,1338900
1906-04-01,1152100
1906-05-01,1102200
1906-06-01,847500
1906-07-01,344800
1906-08-01,168800
1906-09-01,126300
1906-10-01,121000
1906-11-01,149500
1906-12-01,442200
1907-01-01,445400
1907-02-01,1197900
1907-03-01,2278900
1907-04-01,1772100
1907-05-01,1462000
1907-06-01,930500
1907-07-01,391800
1907-08-01,178800
1907-09-01,122300
1907-10-01,117000
1907-11-01,112500
1907-12-01,380200
1908-01-01,413700
1908-02-01,374700
1908-03-01,455200
1908-04-01,561000
1908-05-01,524400
1908-06-01,342700
1908-07-01,165700
1908-08-01,107800
1908-09-01,84300
1908-10-01,104600
1908-11-01,110900
1908-12-01,124300
1909-01-01,2454700
1909-02-01,1023200
1909-03-01,828200
1909-04-01,956700
1909-05-01,882700
1909-06-01,564300
1909-07-01,223900
1909-08-01,126800
1909-09-01,116600
1909-10-01,122900
1909-11-01,348600
1909-12-01,508600
1910-01-01,422400
1910-02-01,449100
1910-03-01,1107200
1910-04-01,760500
1910-05-01,442000
1910-06-01,180500
1910-07-01,119200
1910-08-01,97900
1910-09-01,78600
1910-10-01,76500
1910-11-01,116800
1910-12-01,215600
1911-01-01,557600
1911-02-01,572700
1911-03-01,979400
1911-04-01,1800200
1911-05-01,1380900
1911-06-01,954300
1911-07-01,262400
1911-08-01,117200
1911-09-01,80000
1911-10-01,90400
1911-11-01,101000
1911-12-01,95100
1912-01-01,218000
1912-02-01,166000
1912-03-01,256000
1912-04-01,260000
1912-05-01,528000
1912-06-01,294000
1912-07-01,109000
1912-08-01,85300
1912-09-01,85800
1912-10-01,69500
1912-11-01,175000
1912-12-01,115000
1913-01-01,214000
1913-02-01,156000
1913-03-01,234000
1913-04-01,608000
1913-05-01,635000
1913-06-01,277000
1913-07-01,133000
1913-08-01,102000
1913-09-01,79200
1913-10-01,73500
1913-11-01,109000
1913-12-01,360000
1914-01-01,1450000
1914-02-01,824000
1914-03-01,1070000
1914-04-01,1200000
1914-05-01,977000
1914-06-01,480000
1914-07-01,211000
1914-08-01,129000
1914-09-01,106000
1914-10-01,110000
1914-11-01,115000
1914-12-01,142000
1915-01-01,266000
1915-02-01,803000
1915-03-01,691000
1915-04-01,904000
1915-05-01,1390000
1915-06-01,540000
1915-07-01,225000
1915-08-01,142000
1915-09-01,117000
1915-10-01,115000
1915-11-01,120000
1915-12-01,268000
1916-01-01,583000
1916-02-01,914000
1916-03-01,1240000
1916-04-01,1200000
1916-05-01,843000
1916-06-01,425000
1916-07-01,234000
1916-08-01,145000
1916-09-01,117000
1916-10-01,131000
1916-11-01,140000
1916-12-01,288000
1917-01-01,173000
1917-02-01,556000
1917-03-01,455000
1917-04-01,1050000
1917-05-01,929000
1917-06-01,535000
1917-07-01,193000
1917-08-01,124000
1917-09-01,98600
1917-10-01,83800
1917-11-01,95000
1917-12-01,168000
1918-01-01,110000
1918-02-01,214000
1918-03-01,550000
1918-04-01,676000
1918-05-01,366000
1918-06-01,157000
1918-07-01,100000
1918-08-01,87900
1918-09-01,95600
1918-10-01,111000
1918-11-01,126000
1918-12-01,119000
1919-01-01,172000
1919-02-01,521000
1919-03-01,456000
1919-04-01,961000
1919-05-01,677000
1919-06-01,195000
1919-07-01,119000
1919-08-01,94500
1919-09-01,76000
1919-10-01,83200
1919-11-01,88900
1919-12-01,129000
1920-01-01,104000
1920-02-01,122000
1920-03-01,310000
1920-04-01,500000
1920-05-01,465000
1920-06-01,176000
1920-07-01,99500
1920-08-01,75600
1920-09-01,63100
1920-10-01,81500
1920-11-01,549000
1920-12-01,549000
1921-01-01,849000
1921-02-01,562000
