datetime,SHA_INFLOW_CFS,SHA_OUTFLOW_CFS,SHA_STORAGE_AF,SHA_EVAP_CFS,SHA_TOC STO_AF,SHA_RES ELE_FEET
2000-10-01,3262,5255,2980848,166,,1006.88
2000-10-02,3793,5283,2977473,212,,1006.73
2000-10-03,4437,5246,2975448,212,,1006.64
2000-10-04,3671,5465,2971849,199,,1006.48
2000-10-05,4901,5936,2969599,99,,1006.38
2000-10-06,4262,5425,2966899,198,,1006.26
2000-10-07,4409,5365,2964649,178,,1006.16
2000-10-08,3484,5134,2961049,165,,1006.00
2000-10-09,4500,5138,2959259,264,,1005.92
2000-10-10,6331,4975,2961949,7,,1006.04
2000-10-11,5841,5387,2962849,0,,1006.08
2000-10-12,5340,4659,2964199,0,,1006.14
2000-10-13,6189,4923,2966449,145,,1006.24
2000-10-14,2979,5921,2960378,119,,1005.97
2000-10-15,3915,6080,2955902,92,,1005.77
2000-10-16,5716,6075,2955007,92,,1005.73
2000-10-17,5105,6274,2952546,72,,1005.62
2000-10-18,3767,5945,2948070,79,4168500,1005.42
2000-10-19,4715,5518,2946280,99,4147200,1005.34
2000-10-20,3826,5347,2943147,59,4125900,1005.20
2000-10-21,4336,5670,2940462,20,4104600,1005.08
2000-10-22,4314,4673,2939567,92,4083200,1005.04
2000-10-23,3992,5282,2936891,59,4061900,1004.92
2000-10-24,3680,5278,2933552,85,4040600,1004.77
2000-10-25,4234,4968,2931993,52,4019300,1004.70
2000-10-26,4318,4991,2930658,0,3998000,1004.64
2000-10-27,5122,5288,2930212,59,3976700,1004.62
2000-10-28,6703,4524,2934442,46,3955400,1004.81
2000-10-29,6448,5861,2935555,26,3934100,1004.86
2000-10-30,7327,4720,2940686,20,3912800,1005.09
2000-10-31,5773,5415,2941357,0,3891400,1005.12
2000-11-01,5656,4708,2943147,46,3891400,1005.20
2000-11-02,2070,5033,2937114,79,3870100,1004.93
2000-11-03,3570,5195,2933774,59,3827500,1004.78
2000-11-04,4158,4971,2931993,85,3806200,1004.70
2000-11-05,5884,5237,2933107,85,3784900,1004.75
2000-11-06,4864,5387,2931993,39,3763600,1004.70
2000-11-07,5226,5352,2931548,98,3742300,1004.68
2000-11-08,5088,5458,2930658,79,3721000,1004.64
2000-11-09,5085,5462,2929767,72,3699600,1004.60
2000-11-10,4889,5754,2927986,33,3678300,1004.52
2000-11-11,3398,5267,2924202,39,3657000,1004.35
2000-11-12,4359,5667,2921530,39,3635700,1004.23
2000-11-13,5092,6849,2917968,39,3614400,1004.07
2000-11-14,5032,5586,2916855,7,3593100,1004.02
2000-11-15,5578,5347,2917300,7,3571800,1004.04
2000-11-16,6430,5848,2918414,20,3550500,1004.09
2000-11-17,4291,5268,2916410,33,3529100,1004.00
2000-11-18,3398,5093,2912868,91,3507800,1003.84
2000-11-19,4680,5974,2910211,46,3486500,1003.72
2000-11-20,4236,4532,2909547,39,3465200,1003.69
2000-11-21,4666,5533,2907775,26,3443900,1003.61
2000-11-22,4592,5366,2906226,7,3422600,1003.54
2000-11-23,3145,5680,2901133,33,3401300,1003.31
2000-11-24,3663,5560,2897370,0,3380000,1003.14
2000-11-25,4077,5489,2894491,39,3358700,1003.01
2000-11-26,2500,4467,2890526,32,3337300,1002.83
2000-11-27,4066,5843,2887001,0,3316000,1002.67
2000-11-28,4553,5441,2885239,0,3294700,1002.59
2000-11-29,6045,5431,2886341,58,3273400,1002.64
2000-11-30,5422,5755,2885680,39,3252100,1002.61
2000-12-01,5774,5174,2886781,45,3252100,1002.66
2000-12-02,4931,5238,2886120,26,3252100,1002.63
2000-12-03,5225,5748,2885019,32,3252100,1002.58
2000-12-04,5239,5990,2883477,26,3252100,1002.51
2000-12-05,5740,5238,2884358,58,3252100,1002.55
2000-12-06,5319,5372,2884138,58,3252100,1002.54
2000-12-07,5607,4811,2885680,19,3252100,1002.61
2000-12-08,3918,5885,2881715,32,3252100,1002.43
2000-12-09,3084,5056,2877751,26,3252100,1002.25
2000-12-10,2698,4808,2873566,0,3252100,1002.06
2000-12-11,6006,5654,2874226,19,3252100,1002.09
2000-12-12,5297,4951,2874887,13,3252100,1002.12
2000-12-13,8210,5545,2880173,0,3252100,1002.36
2000-12-14,8120,4110,2887882,123,3252100,1002.71
2000-12-15,7556,3568,2895598,98,3252100,1003.06
2000-12-16,4699,4128,2896705,13,3252100,1003.11
2000-12-17,4620,4488,2896927,20,3252100,1003.12
2000-12-18,5041,4497,2897812,98,3252100,1003.16
2000-12-19,5978,4888,2899805,85,3252100,1003.25
2000-12-20,6162,4691,2902683,20,3252100,1003.38
2000-12-21,4833,5116,2902019,52,3252100,1003.35
2000-12-22,6145,3801,2906668,0,3252100,1003.56
2000-12-23,3922,3673,2907111,26,3252100,1003.58
2000-12-24,2523,3416,2905340,0,3267000,1003.50
2000-12-25,2364,2988,2904012,46,3282000,1003.44
2000-12-26,4096,3421,2905119,117,3296900,1003.49
2000-12-27,5017,3527,2907997,39,3311900,1003.62
2000-12-28,5385,4111,2910432,46,3326800,1003.73
2000-12-29,6198,4708,2913310,39,3341800,1003.86
2000-12-30,4543,4608,2913089,46,3356700,1003.85
2000-12-31,3550,4653,2910875,13,3371600,1003.75
2001-01-01,3617,4832,2908440,78,3386600,1003.64
2001-01-02,3991,4674,2906890,98,3401500,1003.57
2001-01-03,4553,4494,2906890,59,3416500,1003.57
2001-01-04,4655,4058,2907997,39,3431400,1003.62
2001-01-05,4729,4007,2909325,52,3446400,1003.68
