datetime,peakQ
1904-10-01,21199.9999643
1905-10-01,44499.9999251
1906-10-01,104999.999823
1907-10-01,8459.99998575
1908-10-01,97999.999835
1909-10-01,46999.9999209
1910-10-01,69099.9998837
1911-10-01,11299.999981
1912-10-01,11599.9999805
1913-10-01,57699.9999028
1914-10-01,41799.9999296
1915-10-01,33199.9999441
1916-10-01,37599.9999367
1917-10-01,12399.9999791
1918-10-01,44999.9999242
1919-10-01,18799.9999684
1920-10-01,32799.9999448
1921-10-01,23199.9999609
1922-10-01,29799.9999498
1923-10-01,10599.9999821
1924-10-01,68199.9998852
1925-10-01,22699.9999618
1926-10-01,48199.9999188
1927-10-01,118999.9998
1928-10-01,14799.9999751
1929-10-01,18799.9999684
1930-10-01,7919.99998664
1931-10-01,18899.9999682
1932-10-01,12699.9999786
1933-10-01,13299.9999776
1934-10-01,49299.999917
1935-10-01,46399.9999219
1936-10-01,22499.9999621
1937-10-01,81099.9998633
1938-10-01,8499.99998567
1939-10-01,69599.9998826
1940-10-01,26899.9999547
1941-10-01,54599.9999082
1942-10-01,73799.9998758
1943-10-01,12399.9999791
1944-10-01,70899.9998807
1945-10-01,32399.9999454
1946-10-01,20099.9999661
1947-10-01,17599.9999704
1948-10-01,25499.999957
1949-10-01,22799.9999616
1950-10-01,131999.999778
1951-10-01,30499.9999486
1952-10-01,27599.9999535
1953-10-01,36499.9999386
1954-10-01,9379.99998423
1955-10-01,139444.136318
1956-10-01,29944.1282969
1957-10-01,33871.4842079
1958-10-01,12903.3975655
1959-10-01,60231.3645579
1960-10-01,7378.47314868
1961-10-01,31009.1739678
1962-10-01,111819.514233
1963-10-01,15499.4463879
1964-10-01,137780.002457
1965-10-01,7245.34243984
1966-10-01,34936.5298785
1967-10-01,27348.0794746
1968-10-01,76539.8763909
1969-10-01,71214.6480372
1970-10-01,32773.1558598
1971-10-01,10174.2180343
1972-10-01,41260.2385484
1973-10-01,39596.104688
1974-10-01,29677.8668794
1975-10-01,5947.31802862
1976-10-01,2509.21747283
1977-10-01,27248.231443
1978-10-01,16930.6015079
1979-10-01,107492.766196
1980-10-01,11671.9385087
1981-10-01,93846.8685404
1982-10-01,65556.5929116
1983-10-01,47251.1204463
1984-10-01,10473.7621292
1985-10-01,153755.687518
1986-10-01,14234.7046539
1987-10-01,5481.36054769
1988-10-01,30210.3897146
1989-10-01,8909.47630034
1990-10-01,31109.0219994
1991-10-01,15100.0542614
1992-10-01,37599.1440552
1993-10-01,4649.29361743
1994-10-01,61562.6716463
1995-10-01,49211.9999171
1996-10-01,209859.999646
1997-10-01,38926.9999345
1998-10-01,48114.999919
1999-10-01,46575.9999216
2000-10-01,4936.99999168
2001-10-01,12885.9999783
2002-10-01,12967.9999781
2003-10-01,15033.9999747
2004-10-01,28174.9999526
2005-10-01,127616.999785
2006-10-01,20442.9999656
2007-10-01,7071.99998809
2008-10-01,23401.9999606
2009-10-01,11310.9999809
2010-10-01,42718.9999281
2011-10-01,31142.9999476
2012-10-01,32161.9999458
2013-10-01,24098.9999594
2014-10-01,15925.9999732
