datetime,FNF_AF
1900-10-01,15000
1900-11-01,68000
1900-12-01,37000
1901-01-01,93000
1901-02-01,180000
1901-03-01,101000
1901-04-01,111000
1901-05-01,225000
1901-06-01,220000
1901-07-01,60000
1901-08-01,7000
1901-09-01,3000
1901-10-01,3000
1901-11-01,15000
1901-12-01,37000
1902-01-01,10000
1902-02-01,36000
1902-03-01,60000
1902-04-01,140000
1902-05-01,185000
1902-06-01,153000
1902-07-01,13000
1902-08-01,4000
1902-09-01,2000
1902-10-01,2000
1902-11-01,18000
1902-12-01,22000
1903-01-01,57000
1903-02-01,45000
1903-03-01,91000
1903-04-01,168000
1903-05-01,233000
1903-06-01,157000
1903-07-01,19000
1903-08-01,5000
1903-09-01,8000
1903-10-01,9000
1903-11-01,52000
1903-12-01,12000
1904-01-01,11000
1904-02-01,148000
1904-03-01,263000
1904-04-01,231000
1904-05-01,341000
1904-06-01,216000
1904-07-01,45000
1904-08-01,4000
1904-09-01,6000
1904-10-01,45000
1904-11-01,15000
1904-12-01,23000
1905-01-01,27800
1905-02-01,49200
1905-03-01,90900
1905-04-01,121600
1905-05-01,168000
1905-06-01,103300
1905-07-01,8300
1905-08-01,4000
1905-09-01,4800
1905-10-01,3500
1905-11-01,3100
1905-12-01,5400
1906-01-01,62800
1906-02-01,46900
1906-03-01,159800
1906-04-01,180700
1906-05-01,302200
1906-06-01,362800
1906-07-01,219500
1906-08-01,18100
1906-09-01,5300
1906-10-01,5000
1906-11-01,10600
1906-12-01,55200
1907-01-01,71400
1907-02-01,156000
1907-03-01,304700
1907-04-01,274100
1907-05-01,267300
1907-06-01,285700
1907-07-01,206500
1907-08-01,44700
1907-09-01,10800
1907-10-01,10900
1907-11-01,8700
1907-12-01,18700
1908-01-01,34500
1908-02-01,24300
1908-03-01,54200
1908-04-01,110100
1908-05-01,124100
1908-06-01,80500
1908-07-01,14100
1908-08-01,4300
1908-09-01,1300
1908-10-01,5700
1908-11-01,5000
1908-12-01,9300
1909-01-01,181600
1909-02-01,128000
1909-03-01,107600
1909-04-01,175900
1909-05-01,234800
1909-06-01,260400
1909-07-01,52100
1909-08-01,6100
1909-09-01,1000
1909-10-01,3600
1909-11-01,58100
1909-12-01,94400
1910-01-01,83900
1910-02-01,54100
1910-03-01,150300
1910-04-01,196700
1910-05-01,202600
1910-06-01,62700
1910-07-01,11000
1910-08-01,1600
1910-09-01,1900
1910-10-01,4100
1910-11-01,6900
1910-12-01,24600
1911-01-01,149200
1911-02-01,143800
1911-03-01,206500
1911-04-01,260600
1911-05-01,268600
1911-06-01,334400
1911-07-01,118500
1911-08-01,9700
1911-09-01,3800
1911-10-01,3400
1911-11-01,9300
1911-12-01,7700
1912-01-01,15400
1912-02-01,12800
1912-03-01,25300
1912-04-01,35700
1912-05-01,147800
1912-06-01,132400
1912-07-01,4300
1912-08-01,2700
1912-09-01,5300
1912-10-01,2900
1912-11-01,33600
1912-12-01,9800
1913-01-01,23300
1913-02-01,20600
1913-03-01,30600
1913-04-01,86000
1913-05-01,155200
1913-06-01,60400
1913-07-01,10000
1913-08-01,5000
1913-09-01,1300
1913-10-01,1100
1913-11-01,6900
1913-12-01,15300
1914-01-01,172100
1914-02-01,103200
1914-03-01,107400
1914-04-01,147400
1914-05-01,267700
1914-06-01,205700
1914-07-01,52600
1914-08-01,5500
1914-09-01,2100
1914-10-01,5600
1914-11-01,2500
1914-12-01,10700
1915-01-01,20300
1915-02-01,76100
1915-03-01,65500
1915-04-01,138600
1915-05-01,221900
1915-06-01,242300
1915-07-01,47500
1915-08-01,4400
1915-09-01,1900
1915-10-01,1600
1915-11-01,4000
1915-12-01,18100
1916-01-01,79700
1916-02-01,100100
1916-03-01,178000
1916-04-01,201800
1916-05-01,213200
1916-06-01,188600
1916-07-01,49300
1916-08-01,6400
1916-09-01,2200
1916-10-01,12300
1916-11-01,8500
1916-12-01,27400
1917-01-01,18900
1917-02-01,71100
1917-03-01,63600
1917-04-01,136500
1917-05-01,213700
1917-06-01,270800
1917-07-01,48200
1917-08-01,4100
1917-09-01,1200
1917-10-01,1100
1917-11-01,1600
1917-12-01,2100
1918-01-01,2500
1918-02-01,21900
1918-03-01,110800
1918-04-01,126400
1918-05-01,155700
1918-06-01,94800
1918-07-01,5700
1918-08-01,1500
1918-09-01,3100
1918-10-01,10800
1918-11-01,9400
1918-12-01,11800
1919-01-01,9300
1919-02-01,49900
1919-03-01,56900
1919-04-01,150100
1919-05-01,259300
1919-06-01,35700
1919-07-01,1600
1919-08-01,600
1919-09-01,1100
1919-10-01,600
1919-11-01,3100
1919-12-01,10800
1920-01-01,8700
1920-02-01,9500
1920-03-01,45700
1920-04-01,90500
1920-05-01,197700
1920-06-01,91600
1920-07-01,10700
1920-08-01,0
1920-09-01,0
1920-10-01,8300
1920-11-01,22800
1920-12-01,35600
1921-01-01,79900
1921-02-01,62200
1921-03-01,110100
1921-04-01,125300
1921-05-01,225300
1921-06-01,183000
1921-07-01,20400
1921-08-01,900
1921-09-01,800
1921-10-01,2300
1921-11-01,2400
1921-12-01,11500
1922-01-01,21500
1922-02-01,59900
1922-03-01,57400
1922-04-01,108300
1922-05-01,334200
1922-06-01,283800
1922-07-01,39800
1922-08-01,3100
1922-09-01,1100
1922-10-01,3500
1922-11-01,10600
1922-12-01,60300
1923-01-01,46600
1923-02-01,35000
1923-03-01,46200
1923-04-01,129000
1923-05-01,231200
1923-06-01,111000
1923-07-01,30600
1923-08-01,1700
1923-09-01,3700
1923-10-01,8200
1923-11-01,5100
1923-12-01,5500
1924-01-01,8400
1924-02-01,16900
1924-03-01,18600
1924-04-01,55700
1924-05-01,69400
1924-06-01,2200
1924-07-01,0
