datetime,ORO_INFLOW_CFS,ORO_OUTFLOW_CFS,ORO_STORAGE_AF
2017-02-01 00:00:00,-480,19955,2841754
2017-02-01 01:00:00,4337,19880,2840942
2017-02-01 02:00:00,2754,19860,2839861
2017-02-01 03:00:00,4476,20051,2839185
2017-02-01 04:00:00,6255,20081,2838509
2017-02-01 05:00:00,4747,19993,2837428
2017-02-01 06:00:00,6981,20006,2837158
2017-02-01 07:00:00,9741,19949,2836483
2017-02-01 08:00:00,-390,20000,2834457
2017-02-01 09:00:00,-3548,19925,2833242
2017-02-01 10:00:00,-1119,20348,2831758
2017-02-01 11:00:00,7996,20323,2832163
2017-02-01 12:00:00,11541,20270,2831083
2017-02-01 13:00:00,3454,20273,2830004
2017-02-01 14:00:00,9142,20243,2830004
2017-02-01 15:00:00,8394,20266,2828791
2017-02-01 16:00:00,-1370,20356,2827442
2017-02-01 17:00:00,-4022,20342,2825422
2017-02-01 18:00:00,2394,20276,2824883
2017-02-01 19:00:00,6440,20349,2824075
2017-02-01 20:00:00,14087,20354,2824748
2017-02-01 21:00:00,8262,20274,2822863
2017-02-01 22:00:00,-647,20237,2821921
2017-02-01 23:00:00,-2324,20275,2819902
2017-02-02 00:00:00,-3272,20274,2818827
2017-02-02 01:00:00,4462,20317,2818154
2017-02-02 02:00:00,3740,20486,2816944
2017-02-02 03:00:00,3086,20458,2816138
2017-02-02 04:00:00,9137,20436,2815869
2017-02-02 05:00:00,6576,20438,2814660
2017-02-02 06:00:00,-2447,20549,2812914
2017-02-02 07:00:00,9,20440,2812108
2017-02-02 08:00:00,6291,20435,2811437
2017-02-02 09:00:00,7360,20395,2810766
2017-02-02 10:00:00,5620,20418,2809826
2017-02-02 11:00:00,5744,20414,2809156
2017-02-02 12:00:00,14681,20495,2809692
2017-02-02 13:00:00,13567,20416,2808887
2017-02-02 14:00:00,3932,20424,2807814
2017-02-02 15:00:00,-4910,20373,2805535
2017-02-02 16:00:00,-6722,20302,2804061
2017-02-02 17:00:00,1481,20470,2803257
2017-02-02 18:00:00,4186,20514,2802319
2017-02-02 19:00:00,4930,20455,2801516
2017-02-02 20:00:00,7419,20438,2800980
2017-02-02 21:00:00,11316,20511,2800846
2017-02-02 22:00:00,-67,20465,2798571
2017-02-02 23:00:00,-4770,20455,2797501
2017-02-03 00:00:00,5583,20414,2796832
2017-02-03 01:00:00,8247,20424,2796297
2017-02-03 02:00:00,5816,20393,2795362
2017-02-03 03:00:00,4638,20492,2794558
2017-02-03 04:00:00,9643,20445,2794024
2017-02-03 05:00:00,12664,20451,2794826
2017-02-03 06:00:00,9094,20411,2794024
2017-02-03 07:00:00,9029,20435,2793356
2017-02-03 08:00:00,2319,20440,2791619
2017-02-03 09:00:00,5612,20449,2791486
2017-02-03 10:00:00,13660,20473,2791352
2017-02-03 11:00:00,9988,25300,2790684
2017-02-03 12:00:00,11259,25245,2789883
2017-02-03 13:00:00,18099,30182,2789483
2017-02-03 14:00:00,17459,30227,2788815
2017-02-03 15:00:00,26006,30304,2789750
2017-02-03 16:00:00,20029,30271,2788014
2017-02-03 17:00:00,8034,30152,2786948
2017-02-03 18:00:00,20112,30217,2786814
2017-02-03 19:00:00,18381,30089,2786814
2017-02-03 20:00:00,15137,30090,2785480
2017-02-03 21:00:00,17867,30241,2784813
2017-02-03 22:00:00,19437,30196,2784813
2017-02-03 23:00:00,28264,30285,2785480
2017-02-04 00:00:00,26590,30305,2785613
2017-02-04 01:00:00,25087,30239,2786014
2017-02-04 02:00:00,32864,30351,2785880
2017-02-04 03:00:00,36390,30376,2787080
2017-02-04 04:00:00,31119,30310,2786948
2017-02-04 05:00:00,27639,30317,2787614
2017-02-04 06:00:00,30948,30024,2787881
2017-02-04 07:00:00,30903,30001,2788549
2017-02-04 08:00:00,29077,30048,2788549
